"Diet"	"AgeCat"	"UrbanizationCat"
"S67"	"vegetarian"	"[45,70)"	"[1,3)"
"S68"	"meateater"	"[45,70)"	"[3,5]"
"S69"	"fisheater"	"[45,70)"	"[3,5]"
"S7"	"fisheater"	"[18,45)"	"[1,3)"
"S70"	"vegan"	"[18,45)"	"[3,5]"
"S71"	"vegetarian"	"[18,45)"	"[3,5]"
"S72"	"meateater"	"[18,45)"	"[3,5]"
"S73"	"fisheater"	"[45,70)"	"[3,5]"
"S74"	"vegan"	"[18,45)"	"[1,3)"
"S76"	"vegetarian"	"[45,70)"	"[3,5]"
"S77"	"meateater"	"[45,70)"	"[1,3)"
"S78"	"meateater"	"[45,70)"	"[3,5]"
"S79"	"fisheater"	"[18,45)"	"[1,3)"
"S8"	"meateater"	"[45,70)"	"[3,5]"
"S80"	"vegan"	"[18,45)"	"[3,5]"
"S81"	"vegetarian"	"[18,45)"	"[1,3)"
"S82"	"meateater"	"[45,70)"	"[3,5]"
"S83"	"meateater"	"[18,45)"	"[1,3)"
"S84"	"fisheater"	"[45,70)"	"[3,5]"
"S85"	"vegan"	"[18,45)"	"[1,3)"
"S86"	"vegetarian"	"[18,45)"	"[1,3)"
"S87"	"meateater"	"[45,70)"	"[1,3)"
"S88"	"meateater"	"[18,45)"	"[1,3)"
"S89"	"fisheater"	"[45,70)"	"[3,5]"
"S9"	"vegan"	"[18,45)"	"[3,5]"
"S90"	"vegan"	"[45,70)"	"[1,3)"
"S91"	"vegetarian"	"[45,70)"	"[1,3)"
"S92"	"meateater"	"[45,70)"	"[1,3)"
"S93"	"meateater"	"[18,45)"	"[3,5]"
"S94"	"fisheater"	"[18,45)"	"[1,3)"
"S95"	"vegan"	"[45,70)"	"[1,3)"
"S96"	"vegetarian"	"[18,45)"	"[1,3)"
"S97"	"meateater"	"[18,45)"	"[1,3)"
"S98"	"meateater"	"[45,70)"	"[1,3)"
"S99"	"fisheater"	"[45,70)"	"[3,5]"
